,SRR31057074,SRR31057075,SRR31057076,SRR31057077,SRR31057078,SRR31057079,SRR31057080,SRR31057082,SRR31057083,SRR31057084,SRR31057085,SRR31057086,SRR31057087,SRR31057088,SRR31057089,SRR31057090,SRR31057091,SRR31057093,SRR31057094,SRR31057095,SRR31057096,SRR31057097,SRR31057098,SRR31057099,SRR31057100,SRR31057101,SRR31057102,SRR31057104,SRR31057105,SRR31057106,SRR31057107,SRR31057108,SRR31057109,SRR31057110,SRR31057111,SRR31057112,SRR31057113,SRR31057115,SRR31057116,SRR31057117,SRR31057118,SRR31057119,SRR31057120,SRR31057121
unknown_unknown_unknown-otu-21-909,0,0,0,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-23-774,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-25-578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-27-563,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-30-457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,300,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-32-434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-33-406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,287,0,83,118,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-34-386,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,69,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-35-356,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,63,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-36-355,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-38-315,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
